crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
7/04/2026,Alli Lynn,2.1,342,creaf_global_plantation_2023,5596,GCL_2020_xxxxx,raster code,0,Other land covers that are not coconut palm,NA,0,No data,No data,0
7/04/2026,Alli Lynn,2.1,342,creaf_global_plantation_2023,5596,GCL_2020_xxxxx,raster code,1,Coconut palm,NA,T7.3,Plantations,T7.3 Plantations,48
