crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
16/12/2025,Alli Lynn,NA,275,nnsf_china_aqc_2020,Marine aquaculture areas in the Chinaâ€™s coastal region,Name,MAC,marine animal culture,"MAC areas are cultured with marine animals, such as fish, crustaceans, shellfish, etc., in connected cages, or wooden rafts.",M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,NA,275,nnsf_china_aqc_2020,Marine aquaculture areas in the Chinaâ€™s coastal region,Name,MPC,marine plant culture,"MPC areas are generally cultivated with seaweed, such as kelp, Undaria, Gracilaria, etc.",M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
