crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
7/07/2026,Tess_Harmer,2.1,388,uleeds_congo_peat_2022,74984,Crezee_2022_Smoothed_7x7_Classification_Most_likely_class,raster code,0,No data,NA,0,No Data,No Data,0
8/07/2026,Tess_Harmer,2.1,388,uleeds_congo_peat_2022,74984,Crezee_2022_Smoothed_7x7_Classification_Most_likely_class,raster code,1,Open water,NA,0,No Data,No Data,0
9/07/2026,Tess_Harmer,2.1,388,uleeds_congo_peat_2022,74984,Crezee_2022_Smoothed_7x7_Classification_Most_likely_class,raster code,2,Savanna,NA,0,No Data,No Data,0
10/07/2026,Tess_Harmer,2.1,388,uleeds_congo_peat_2022,74984,Crezee_2022_Smoothed_7x7_Classification_Most_likely_class,raster code,3,Non-peat forming forest,Terra firme and seasonally inundated forest,0,No Data,No Data,0
11/07/2026,Tess_Harmer,2.1,388,uleeds_congo_peat_2022,74984,Crezee_2022_Smoothed_7x7_Classification_Most_likely_class,raster code,4,Palm-dominated peat swamp forest,NA,TF1.1,Tropical flooded forests and peat forests,TF1.1 Tropical flooded forests and peat forests,70
11/07/2026,Tess_Harmer,2.1,388,uleeds_congo_peat_2022,74984,Crezee_2022_Smoothed_7x7_Classification_Most_likely_class,raster code,5,Hardwood-dominated peat swamp forest,NA,TF1.1,Tropical flooded forests and peat forests,TF1.1 Tropical flooded forests and peat forests,70
