crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Mozambique Channel Mid Slope,Mid Slope waters in Mozambique Channel Ecoregion (1000-1800m depth),NA,M3.1,Continental and island slopes,M3.1 Continental and island slopes,143
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Mozambique Channel Seamount,Seamount in Mozambique Channel Ecoregion (conical areas rising >1000m from seafloor),NA,M3.4,"Seamounts, ridges and plateaus","M3.4 Seamounts, ridges and plateaus",146
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Mozambique Channel Shelf Edge,Shelf Edge waters in Mozambique Channel Ecoregion (150 - 500m depth),NA,M3.1,Continental and island slopes,M3.1 Continental and island slopes,143
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Mozambique Channel Upper Shelf,Upper Shelf waters in Mozambique Channel Ecoregion (0-40m depth),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Mozambique Channel Upper Slope,Upper Slope waters in Mozambique Channel Ecoregion (500-1000m depth),NA,M3.1,Continental and island slopes,M3.1 Continental and island slopes,143
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Sofala Bight Canyon,Canyon in Sofala Bight Ecoregion (steep-walled valleys with V-shaped cross sections),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Sofala Bight Coral Reefs,Coral Reefs in Sofala Bight Ecoregion (live reefs or algae),NA,M1.3,Photic coral reefs,M1.3 Photic coral reefs,122
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Sofala Bight Estuary,Estuaries & outflows in Sofala Bight Ecoregion (areas within 2.5km buffer from rivermouth),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Sofala Bight Lower Shelf,Lower Shelf waters in Sofala Bight Ecoregion (100-150m depth),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Sofala Bight Microalgal Mats,Microalgal Mats in Sofala Bight Ecoregion (visible accumulations of microscopic algae in sandy sediments),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Sofala Bight Mid Shelf,Mid Shelf waters in Sofala Bight Ecoregion (40-100m depth),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Sofala Bight Rock,Rock in Sofala Bight Ecoregion (exposed hardbottom area with few corals),NA,M1.3,Photic coral reefs,M1.3 Photic coral reefs,122
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Sofala Bight Rubble,"Rubble in Sofala Bight Ecoregion (loose, rough fragments of broken coral)",NA,M1.3,Photic coral reefs,M1.3 Photic coral reefs,122
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Sofala Bight Seagrass,Seagrass in Sofala Bight Ecoregion,NA,M1.1,Seagrass meadows,M1.1 Seagrass meadows,120
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Sofala Bight Shelf Edge,Shelf Edge waters in Sofala Bight Ecoregion (150 - 500m depth),NA,M3.1,Continental and island slopes,M3.1 Continental and island slopes,143
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Sofala Bight Shore (300m buffer),Shore waters in Sofala Bight Ecoregion (300m buffer from shore),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
2024/08/24 00:00:00,Ben_Cresswell,2.1,183,wcs_mozam_marine_2022,NA,Ecosys_EN,Sofala Bight Upper Shelf,Upper Shelf waters in Sofala Bight Ecoregion (0-40m depth),NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
