crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
18-Dec-25,Tess Harmer,2.1,330,wwf_global_dam_2024,GDW_reservoirs_v1_0,DAM_TYPE,Dam,default value assigned to all barriers unless another type is know,NA,F3.1,Large reservoirs,F3.1 Large reservoirs,107
18-Dec-25,Tess Harmer,2.1,330,wwf_global_dam_2024,GDW_reservoirs_v1_0,DAM_TYPE,Lake Control Dam,Indicates whether a reservoir has been built at the location of an existing natural lake using a lake control structure,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
18-Dec-25,Tess Harmer,2.1,330,wwf_global_dam_2024,GDW_reservoirs_v1_0,DAM_TYPE,Lock,"Cross the full width of the river, heavier impact than low head dam (Yand et al. 2022)",NA,F3.1,Large reservoirs,F3.1 Large reservoirs,107
18-Dec-25,Tess Harmer,2.1,330,wwf_global_dam_2024,GDW_reservoirs_v1_0,DAM_TYPE,Low Permeable Dam,"Partial dams (e.g., wing dams) (Yang et al. 2022)",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
